epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.481,1.54444,3.05627,2.00352,0,0,0,0,0,50.6564,0,0.0005,0.0005,0.0005
2,218.182,1.21398,1.49349,1.69153,0,0,0,0,0,55.7497,0,0.00091902,0.00091902,0.00091902
3,328.474,1.16423,1.1926,1.63612,0,0,0,0,0,120.426,0,0.00123508,0.00123508,0.00123508
4,438.485,1.1275,0.98584,1.55912,0,0,0,0,0,130.951,0,0.001406,0.001406,0.001406
5,549.985,1.15239,0.95934,1.55764,0,0,0,0,0,188.863,0,0.001208,0.001208,0.001208
6,661.584,1.07215,0.84626,1.55781,0,0,0,0,0,150.772,0,0.00101,0.00101,0.00101
7,773.486,1.02453,0.7893,1.50738,0,0,0,0,0,135.689,0,0.000812,0.000812,0.000812
8,884.658,1.02049,0.75641,1.46953,0,0,0,0,0,138.044,0,0.000614,0.000614,0.000614
9,996.787,0.9945,0.73291,1.47275,0,0,0,0,0,128.589,0,0.000416,0.000416,0.000416
10,1108.95,0.9612,0.71075,1.47543,0,0,0,0,0,117.958,0,0.000218,0.000218,0.000218
